date;subject;description;type
2024/01/10 16:07:06;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:07:08;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:07:09;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:07:11;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:10:24;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:13:12;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:13:14;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:13:15;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:13:21;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:13:31;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:13:33;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:13:41;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:13:53;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:17:26;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:17:31;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:17:34;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:17:36;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:17:39;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:17:41;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:17:44;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:17:46;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:17:48;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:17:49;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:18:14;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:18:21;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:25:18;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:25:21;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:25:23;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:25:24;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:25:25;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:25:26;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:25:27;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:25:30;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:25:31;Academy;Subject not found for tag: 041A9DA41D;ERROR
2024/01/10 16:34:58;Academy;Cam1 not found;ERROR
2024/01/10 16:34:58;Academy;Touch device not found;ERROR
2024/01/10 16:34:58;Academy;Stablishing connection with Bpod...;ACTION
